date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,AY.4.2,B.1.1.529,B.1.1.7,B.1.1.7+E484K,B.1.351,B.1.427/B.1.429,B.1.525,B.1.526,B.1.616,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.620,B.1.621,B.1.640,C.1.2,C.37,P.1,P.3,UNK,Other
2020-04-01,486,5320,372.571,455,70,45.857,523.614,47.834,36.67,44.783,6.89,4.513,1.5,315,31.003,1381,135.923,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,554,5874,410.857,535,80,52.714,578.141,54.527,40.438,52.657,7.874,5.188,1.47,342,33.661,1486,146.258,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,601,6475,444.571,605,70,57.714,637.293,59.153,43.756,59.546,6.89,5.68,1.44,361,35.531,1523,149.899,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,357,6832,452.714,373,-232,19.143,672.43,35.137,44.558,36.712,-22.834,1.884,1.41,378,37.204,1569,154.427,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,340,7172,461.286,401,28,16.714,705.894,33.464,45.401,39.468,2.756,1.645,1.38,404,39.763,1773,174.505,0,0,0,0,0,0,0,0,0,0,64.81,-265.2,-0.98,33.14,-26.10195372,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,389,7561,457.429,477,76,20.714,744.181,38.287,45.022,46.948,7.48,2.039,1.36,422,41.535,1807,177.852,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,738,8299,495,591,114,29.429,816.818,72.637,48.72,58.168,11.22,2.896,1.33,434,42.716,1864,183.462,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,655,8954,519.143,687,96,33.143,881.285,64.467,51.096,67.617,9.449,3.262,1.3,454,44.684,1912,188.186,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,645,9599,532.143,793,106,36.857,944.769,63.483,52.375,78.05,10.433,3.628,1.27,465,45.767,1922,189.17,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,454,10053,511.143,870,77,37.857,989.453,44.684,50.309,85.629,7.579,3.726,1.25,482,47.44,2011,197.93,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
