date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,B.1.1.7,B.1.617.2,B.1.1.529,Other,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-07-17,299,74235,253.714,5619,26,13.286,0.71,68,6.693,341,9933,215271,10486,0.0242,41.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,74235,5619,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-18,200,74435,237.429,5619,0,13.286,0.73,65,6.398,335,9933,225204,10210,0.0233,43,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,74435,5619,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-19,110,74545,238,5619,0,13.286,0.74,66,6.496,337,9933,235137,9933,0.024,41.7,,,,,,59.26,4934.8,9.6,-1.7,485.7010604,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,74545,5619,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-20,131,74676,232.429,5619,0,13.286,0.75,60,5.905,312,8458,243595,9722,0.0239,41.8,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,74676,5619,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-21,226,74902,219.714,5646,27,14.429,0.76,54,5.315,322,8458,252053,9512,0.0231,43.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,74902,5646,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-22,297,75199,219.429,5667,21,13.571,0.78,47,4.626,304,8458,260511,9301,0.0236,42.4,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,75199,5667,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-23,220,75419,211.857,5676,9,11.857,0.8,53,5.216,313,8458,268969,9090,0.0233,42.9,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,75419,5676,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-24,262,75681,206.571,5697,21,11.143,0.82,48,4.724,302,8458,277427,8879,0.0233,43,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,75681,5697,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-25,138,75819,197.714,5697,0,11.143,0.84,50,4.921,300,8458,285885,8669,0.0228,43.8,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,75819,5697,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-26,42,75861,188,5697,0,11.143,0.86,48,4.724,299,8458,294343,8458,0.0222,45,,,,,,59.26,4945.6,9.33,0.68,486.7640359,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,75861,5697,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
