date,cases,total cases,death,total death,intensive care,hosp_patients,airplane passengers monthly average,min temp,max temp,school closures,retail and recreation,grocery and pharmacy,residential,transit stations,parks,workplaces,total doses,total new doses,total vaccinated,cancel public events,stringency index,stay home requirements,face coverings,public information campaigns,close public transport,international travel control,testing policy,Workplace closing,Restrictions on gatherings,Restrictions on internal movement,International travel controls,Income support,Debt/contract relief,Contact tracing,Vaccination policy,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
2021-01-20,4702,537967,474,10797,16,2278,3269,0.4,1.4,2,-33.571,-14.429,10.571,-47.857,-0.857,-26.714,183,16.681,177.599,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-21,4985,542952,124,10921,16,2210,3269,4,5.1,2,-33.429,-14.286,10.429,-47.857,-1.429,-26.714,200,16.681,192.636,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-22,4214,547166,84,11005,15,2151,3269,3.1,6.2,2,-33.286,-14.286,10.571,-47.857,-3.571,-26.714,216,16.681,207.673,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-23,0,547166,0,11005,11,2135,3269,2.1,5.1,2,-32.286,-13.857,10.429,-47.429,-4.143,-26.286,233,16.681,222.71,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-24,0,547166,0,11005,10,2141,3269,-1,1.1,2,-31.429,-13.571,10.429,-47.143,-4.429,-25.857,250,16.683,237.748,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-25,0,547166,0,11005,28,2132,3269,-1.4,0.2,2,-30.714,-13.143,10.286,-46.857,-4.714,-25.714,263,13.067,247,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-26,9123,556289,242,11247,18,2068,3269,-3.2,-2.1,2,-29.714,-12.571,10,-46.429,-2.571,-25.429,276,13.067,256.252,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-27,4183,560472,178,11425,13,1982,3269,-5.4,-3.6,2,-28.571,-12,9.857,-46,0,-25.143,289,13.067,265.504,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-28,4085,564557,95,11520,10,1931,3269,-5.6,-1.4,2,-28,-11.714,9.714,-45.429,1.143,-24.857,302,13.067,274.756,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-29,2400,566957,71,11591,15,1862,3269,-4.7,-3.4,2,-27.143,-11.286,9.571,-44.857,3.714,-24.571,315,13.067,284.008,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-30,0,566957,0,11591,16,1858,3269,-9.5,-7.4,2,-26.714,-11.143,9.571,-44.857,3.857,-24.571,328,13.067,293.26,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-31,0,566957,0,11591,9,1806,3269,-10.8,-5.9,2,-26.143,-10.857,9.429,-44.429,7.857,-24.429,341,13.071,302.513,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-01,0,566957,0,11591,13,1771,3269,-9.1,-3.7,2,-26.143,-11.143,9.429,-44.286,9.143,-24.286,356,14.353,308.705,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-02,9649,576606,224,11815,12,1739,2835,-3,-0.1,2,-26.714,-11.571,9.571,-44.143,8.286,-24.286,370,14.353,314.897,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-03,4310,580916,124,11939,14,1629,2835,-7.3,-5.3,2,-27,-11.857,9.571,-44,8.429,-24.143,384,14.353,321.089,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-04,3758,584674,89,12028,11,1602,2835,-9.5,-5.9,2,-26.857,-11.714,9.571,-44,8.714,-24,399,14.353,327.281,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-05,3388,588062,87,12115,22,1511,2835,-9.2,-5.3,2,-26.857,-11.571,9.429,-43.857,9.571,-23.857,413,14.353,333.473,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-06,0,588062,0,12115,20,1498,2835,-8.8,-5,2,-27.143,-11.429,9.286,-43.714,11.714,-23.714,427,14.353,339.665,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-07,0,588062,0,12115,13,1512,2835,-9.9,-4.5,2,-27.571,-11.429,9.286,-44,9.571,-23.714,442,14.354,345.857,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-08,0,588062,0,12115,15,1492,2835,-9.5,-3.5,2,-27.857,-11.429,9.286,-44,8.571,-23.571,459,16.901,352.494,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-09,8112,596174,73,12188,19,1449,2835,-8.5,-5.4,2,-27.714,-11.143,9.286,-44,7.714,-23.429,476,16.901,359.131,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-10,4070,600244,138,12326,12,1395,2835,-11.5,-5.9,2,-28,-11.143,9.286,-44,7.286,-23.429,492,16.901,365.768,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-11,4333,604577,44,12370,13,1395,2835,-12.3,-6.6,2,-27.857,-10.857,9.286,-43.857,7.429,-23.286,509,16.901,372.405,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-12,3834,608411,58,12428,15,1339,2835,-10.8,-2.3,2,-27.714,-10.429,9.286,-43.857,8.429,-23.143,526,16.901,379.042,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-13,0,608411,0,12428,17,1334,2835,-8.8,-1.8,2,-27.286,-9.714,9.286,-43.571,12,-23,543,16.901,385.679,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-14,0,608411,0,12428,14,1336,2835,-4.2,0.3,2,-26,-8.143,9.143,-42.714,18,-22.429,560,16.905,392.321,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-15,0,608411,0,12428,17,1370,2835,-5.4,-0.9,2,-25.857,-7.857,9.143,-42.571,20.714,-22.571,582,22.148,402.359,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-16,9458,617869,59,12487,19,1334,2835,-5.5,-1.4,2,-25.571,-7,9.143,-42.429,22.286,-22.571,604,22.148,412.397,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-02-17,4233,622102,82,12569,12,1328,2835,-4.8,-3.5,2,-25.857,-7.143,9.286,-42.429,22.143,-22.714,627,22.148,422.435,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-18,4920,627022,29,12598,12,1276,2835,-4,-1.9,2,-26,-6.857,9.286,-42.571,21.857,-22.857,649,22.148,432.473,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-19,4144,631166,51,12649,18,1257,2835,0.2,1.8,2,-25.857,-6.571,9.286,-42.571,20.286,-23,671,22.148,442.511,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-20,0,631166,0,12649,19,1253,2835,2.1,4.6,2,-26,-6.857,9.429,-43,11.857,-23,693,22.148,452.549,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-21,0,631166,0,12649,12,1258,2835,3.7,7.4,2,-26.571,-7.857,9.571,-43.286,6.286,-23.286,715,22.149,462.593,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-22,0,631166,0,12649,19,1357,2835,2,4.5,2,-25.857,-7.286,9.571,-43.143,7.571,-23.429,738,22.433,477.146,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-23,10933,642099,64,12713,24,1338,2835,2.3,4.8,2,-25.571,-7.714,9.571,-43.286,8.571,-23.714,760,22.433,491.699,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-24,5371,647470,80,12793,20,1333,2835,3.5,9.6,2,-24.286,-6.857,9.429,-43,11.857,-23.857,782,22.433,506.252,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-25,4995,652465,5,12798,14,1310,2835,8.8,11.3,2,-22.714,-6,9.429,-42.571,15.286,-24.143,805,22.433,520.805,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-26,4844,657309,28,12826,16,1321,2835,4.2,10.2,2,-21.286,-5.571,9.286,-41.714,21.571,-24.571,827,22.433,535.358,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-27,0,657309,0,12826,19,1318,2835,1.2,6.9,2,-20.286,-5.143,9,-40.429,28.857,-24,850,22.433,549.911,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-02-28,0,657309,0,12826,21,1331,2835,2.7,10.9,2,-19,-4.429,8.714,-39.143,35.714,-23.429,872,22.436,564.467,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-01,0,657309,0,12826,17,1453,3311,2,7.7,2,-18.429,-4.143,8.571,-38.857,36.857,-23.429,899,27.203,586.214,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-02,11804,669113,56,12882,19,1444,3311,3.5,8.4,2,-17.857,-3.857,8.429,-38.286,41.429,-23.429,927,27.203,607.961,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-03,6179,675292,82,12964,21,1432,3311,1.2,6,2,-17.714,-3.714,8.286,-38,42.714,-23.571,954,27.203,629.708,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-04,4838,680130,13,12977,18,1412,3311,-1.6,3.1,2,-18.429,-4.286,8.286,-38.143,43,-23.571,981,27.203,651.455,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-05,4831,684961,26,13003,28,1407,3311,-3.2,1.4,2,-19.429,-4.714,8.429,-38.571,41.429,-23.571,1008157,27.203,673.202,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-06,0,684961,0,13003,17,1407,3311,0.5,6.7,2,-20.286,-5.143,8.571,-39.429,36.571,-23.857,1035360,27.203,694.949,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-07,0,684961,0,13003,15,1435,3311,-1.1,1.2,2,-21.714,-5.857,8.857,-40.714,27.571,-24.286,1062565,27.205,716.702,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-08,0,684961,0,13003,14,1498,3311,-2.6,2,2,-22,-5.857,8.857,-40.571,27.714,-24.286,1094274,31.709,742.748,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
2021-03-09,11014,695975,39,13042,26,1487,3311,-2.2,1.2,2,-22.714,-6.143,9,-40.857,23.143,-24.286,1125983,31.709,768.794,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,61.09,64.46,37.5
